FACT1,02-02-2016,CODIGOBOLETO1,http://url.image1/,CLIENTE1
FACT2,03-02-2016,CODIGOBOLETO2,http://url.image2/,CLIENTE1
FACT3,03-02-2016,CODIGOBOLETO3,http://url.image3/,CLIENTE2
FACT4,03-02-2016,CODIGOBOLETO4,http://url.image4/,CLIENTE1
FACT5,04-02-2016,CODIGOBOLETO5,http://url.image5/,CLIENTE1
FACT6,05-02-2016,CODIGOBOLETO6,http://url.image6/,CLIENTE2
FACT7,07-02-2016,CODIGOBOLETO7,http://url.image1/,CLIENTE3
FACT8,07-02-2016,CODIGOBOLETO8,http://url.image2/,CLIENTE3
FACT9,07-02-2016,CODIGOBOLETO9,http://url.image3/,CLIENTE4
FACT10,08-02-2016,CODIGOBOLET12,http://url.image4/,CLIENTE5
FACT11,08-02-2016,CODIGOBOLET13,http://url.image5/,CLIENTE6
FACT12,08-02-2016,CODIGOBOLET15,http://url.image6/,CLIENTE7
